"id","clip","speaker","rough","casual","honest","proper","easygoing","fastspeaking"
1311,"M1_02","M1","2","2","2","2","2","2"
1311,"M1_03","M1","2","2","2","2","2","2"
1311,"M1_04","M1","2","2","2","2","2","2"
1311,"M2_01","M2","2","2","2","2","2","2"
1311,"M2_02","M2","2","2","2","2","2","2"
1311,"M2_03","M2","2","2","2","2","2","2"
1311,"M2_04","M2","2","2","2","2","2","2"
1311,"M3_01","M3","2","2","2","2","2","2"
1311,"M3_02","M3","2","2","2","2","2","2"
1311,"M3_03","M3","2","2","2","2","2","2"
1311,"M3_04","M3","2","2","2","2","2","2"
1311,"M4_01","M4","2","2","2","2","2","2"
1311,"M4_02","M4","2","2","2","2","2","2"
1311,"M4_03","M4","2","2","2","2","2","2"
1311,"M4_04","M4","2","2","2","2","2","2"
1311,"M5_01","M5","2","2","2","2","2","2"
1311,"M5_02","M5","2","2","2","2","2","2"
1311,"M5_03","M5","2","2","2","2","2","2"
1311,"M5_04","M5","2","2","2","2","2","2"
1311,"somewhatagree","attention_check","2","2","2","2","2","2"
1311,"somewhatdisagree","attention_check","2","2","2","2","2","2"
1311,"stronglyagree","attention_check","2","2","2","2","2","2"
1311,"stronglydisagree","attention_check","2","2","2","2","2","2"
1313,"F1_01","F1","4","4","4","1","1","4"
1313,"F1_02","F1","4","5","4","1","4","2"
1313,"F1_03","F1","4","4","4","1","4","4"
1313,"F1_04","F1","4","4","4","1","4","4"
1313,"F2_01","F2","4","4","4","4","4","2"
1313,"F2_02","F2","4","4","4","5","4","5"
1313,"F2_03","F2","4","4","4","4","4","4"
1313,"F2_04","F2","4","4","4","4","4","4"
1313,"F3_01","F3","4","4","4","2","4","4"
1313,"F3_02","F3","4","4","4","1","2","4"
1313,"F3_03","F3","2","4","4","4","4","4"
1313,"F3_04","F3","2","4","4","4","4","4"
1313,"F4_01","F4","4","4","4","2","4","4"
1313,"F4_02","F4","4","5","5","1","5","5"
1313,"F4_03","F4","2","4","4","2","4","4"
1313,"F4_04","F4","2","4","4","2","4","2"
1313,"F5_01","F5","2","4","4","2","4","4"
1313,"F5_02","F5","2","4","4","2","4","2"
1313,"F5_03","F5","4","4","4","1","4","2"
1313,"F5_04","F5","4","4","4","1","4","4"
1313,"M1_01","M1","4","4","4","2","4","4"
1313,"M1_02","M1","4","4","4","2","4","3"
1313,"M1_03","M1","4","4","4","1","4","4"
1313,"M1_04","M1","4","4","4","3","4","2"
1313,"M2_01","M2","4","4","4","1","4","2"
1313,"M2_02","M2","4","4","4","2","4","2"
1313,"M2_03","M2","4","4","4","2","4","4"
1313,"M2_04","M2","4","4","4","1","4","4"
1313,"M3_01","M3","4","4","4","4","4","4"
1313,"M3_02","M3","4","4","4","4","4","4"
1313,"M3_03","M3","4","4","4","1","4","4"
1313,"M3_04","M3","4","2","3","4","2","2"
1313,"M4_01","M4","4","4","4","2","4","2"
1313,"M4_02","M4","4","4","4","1","4","4"
1313,"M4_03","M4","4","4","4","2","4","2"
1313,"M4_04","M4","4","4","4","1","4","4"
1313,"M5_01","M5","4","4","4","4","4","4"
1313,"M5_02","M5","4","4","4","4","4","4"
1313,"M5_03","M5","4","4","4","2","4","4"
1313,"M5_04","M5","2","4","4","2","4","2"
1313,"somewhatagree","attention_check","4","4","4","4","4","4"
1313,"somewhatdisagree","attention_check","2","2","2","2","2","2"
1313,"stronglyagree","attention_check","6","6","6","6","6","6"
1313,"stronglydisagree","attention_check","0","0","0","0","0","0"
1316,"F1_01","F1","1","5","5","5","4","4"
1316,"F1_02","F1","5","1","5","4","1","1"
1316,"F1_03","F1","5","5","5","1","1","4"
1316,"F1_04","F1","1","1","5","5","1","4"
1316,"F2_01","F2","1","1","5","5","5","4"
1316,"F2_02","F2","1","1","5","5","4","1"
1316,"F2_03","F2","1","5","5","4","5","4"
1316,"F2_04","F2","1","1","5","5","5","4"
1316,"F3_01","F3","1","4","5","4","1","5"
1316,"F3_02","F3","1","5","5","4","1","5"
1316,"F3_03","F3","1","1","5","5","1","4"
1316,"F3_04","F3","1","4","5","4","1","2"
1316,"F4_01","F4","1","1","5","5","1","4"
1316,"F4_02","F4","1","5","5","1","5","5"
1316,"F4_03","F4","1","1","5","5","4","5"
1316,"F4_04","F4","1","1","5","5","5","4"
1316,"F5_01","F5","1","5","5","5","4","4"
1316,"F5_02","F5","1","1","5","5","4","1"
1316,"F5_03","F5","2","4","5","4","1","2"
1316,"F5_04","F5","1","1","5","5","5","5"
1316,"M1_01","M1","1","4","5","4","1","1"
1316,"M1_02","M1","1","5","5","1","1","5"
1316,"M1_03","M1","1","1","5","5","1","4"
1316,"M1_04","M1","1","1","5","5","1","1"
1316,"M2_01","M2","5","5","5","1","4","1"
1316,"M2_02","M2","2","4","5","5","4","2"
1316,"M2_03","M2","4","5","5","1","1","4"
1316,"M2_04","M2","5","6","3","1","4","5"
1316,"M3_01","M3","4","4","5","5","1","1"
1316,"M3_02","M3","4","2","5","5","1","4"
1316,"M3_03","M3","1","4","5","2","5","1"
1316,"M3_04","M3","1","1","5","5","4","2"
1316,"M4_01","M4","2","1","5","5","1","1"
1316,"M4_02","M4","4","5","5","1","4","4"
1316,"M4_03","M4","1","5","5","1","5","4"
1316,"M4_04","M4","1","5","5","1","5","4"
1316,"M5_01","M5","2","1","5","5","1","2"
1316,"M5_02","M5","1","4","5","4","1","4"
1316,"M5_03","M5","1","1","5","5","1","1"
1316,"M5_04","M5","1","4","5","4","1","1"
1316,"somewhatagree","attention_check","4","4","4","4","4","4"
1316,"somewhatdisagree","attention_check","2","2","2","2","2","2"
1316,"stronglyagree","attention_check","6","6","6","6","6","6"
1316,"stronglydisagree","attention_check","0","0","0","0","0","0"
1323,"F1_01","F1","3","3","3","3","3","3"
1323,"F1_02","F1","3","3","3","3","3","3"
1323,"F1_03","F1","3","3","3","3","3","3"
1323,"F1_04","F1","3","3","3","3","3","3"
1323,"F2_01","F2","3","3","3","3","3","3"
1323,"F2_02","F2","3","3","3","3","3","3"
1323,"F2_03","F2","3","3","3","3","3","3"
1323,"F2_04","F2","3","3","3","3","3","3"
1323,"F3_01","F3","3","3","3","3","3","3"
1323,"F3_02","F3","3","3","3","3","3","3"
1323,"F3_03","F3","3","3","3","3","3","3"
1323,"F3_04","F3","3","3","3","3","3","3"
1323,"F4_01","F4","3","3","3","3","3","3"
1323,"F4_02","F4","3","3","3","3","3","3"
1323,"F4_03","F4","3","3","3","3","3","3"
1323,"F4_04","F4","3","3","3","3","3","3"
